,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,date,change,changePercent
2007-05-01,148.67,149.47,147.67,148.53,SPY,134447334,HISTORICAL_PRICES,SPY,,1648509555000,0.0497811043637903,0.0497811043637903,148.53,148.67,149.47,147.67,134447334,92.7672,92.8546,93.3542,92.23,134447334,"May 1, 07",0.37999999999999545,0.0026
2007-05-02,149.54,149.95,148.75,149.12,SPY,87183213,HISTORICAL_PRICES,SPY,,1648509670000,0.05592430447676873,0.05592430447676873,149.12,149.54,149.95,148.75,87183213,93.1356,93.398,93.654,92.9046,87183213,"May 2, 07",0.8700000000000045,0.0059
2007-05-03,150.35,150.4,149.05,149.72,SPY,87865741,HISTORICAL_PRICES,SPY,,1648509483000,0.06164383561643828,0.06164383561643828,149.72,150.35,150.4,149.05,87865741,93.5104,93.9039,93.9351,93.0919,87865741,"May 3, 07",0.8100000000000023,0.0054
2007-05-04,150.92,151.12,150.22,150.77,SPY,96424729,HISTORICAL_PRICES,SPY,,1648509670000,0.06566869086287236,0.06566869086287236,150.77,150.92,151.12,150.22,96424729,94.1662,94.2599,94.3848,93.8227,96424729,"May 4, 07",0.5699999999999932,0.0038
2007-05-07,150.95,151.2,150.81,150.92,SPY,63691549,HISTORICAL_PRICES,SPY,,1648509753000,0.06588052534952679,0.06588052534952679,150.92,150.95,151.2,150.81,63691549,94.2599,94.2786,94.4347,94.1912,63691549,"May 7, 07",0.030000000000001137,0.0002
2007-05-08,150.75,150.92,150.13,150.49,SPY,81538936,HISTORICAL_PRICES,SPY,,1648509375000,0.06446829543849736,0.06446829543849736,150.49,150.75,150.92,150.13,81538936,93.9913,94.1537,94.2599,93.7665,81538936,"May 8, 07",-0.19999999999998863,-0.0013
2007-05-09,151.16,152.82,150.37,150.59,SPY,102950775,HISTORICAL_PRICES,SPY,,1648509583000,0.06736336675610784,0.06736336675610784,150.59,151.16,152.82,150.37,102950775,94.0538,94.4098,95.4465,93.9164,102950775,"May 9, 07",0.4099999999999966,0.0027
2007-05-10,149.58,151.02,149.27,150.83,SPY,153702478,HISTORICAL_PRICES,SPY,,1648509704000,0.056206750458974775,0.056206750458974775,150.83,149.58,151.02,149.27,153702478,94.2037,93.4229,94.3223,93.2293,153702478,"May 10, 07",-1.579999999999984,-0.0105
2007-05-11,150.86,150.93,149.72,149.68,SPY,113415741,HISTORICAL_PRICES,SPY,,1648509375000,0.06524502188956369,0.06524502188956369,149.68,150.86,150.93,149.72,113415741,93.4854,94.2224,94.2661,93.5104,113415741,"May 11, 07",1.2800000000000011,0.0086
2007-05-14,150.53,151.3,149.79,150.83,SPY,108065801,HISTORICAL_PRICES,SPY,,1648509753000,0.0629148425363649,0.0629148425363649,150.83,150.53,151.3,149.79,108065801,94.2037,94.0163,94.4972,93.5541,108065801,"May 14, 07",-0.3300000000000125,-0.0022
