date,open,high,low,close,volume,change,changepercent,daily_ret,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2017-01-03,225.04,225.83,223.8837,225.24,91366522,1.710000000000008,0.0076,,35972956.79422484,91366522,,,,,-25416863.723578785,,,1000.0,,,,,,0.0,0.0,,226.93086666666667,223.0382666666667,,0.5656202366884164,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,224.85685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-27.71589262488241,,0.0
2017-01-04,225.62,226.75,225.61,226.58,78744433,1.3400000000000034,0.0059,0.5949209731841654,91232208.02229646,170110955,,,1.915552557220115,,-24854579.98547761,,,1005.9492097318416,,,,,,0.0,0.0,,227.1921,224.10580000000004,,0.8016719048699074,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.31685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5949209731841654,0.593158305892505,0.5949209731841654
2017-01-05,226.27,226.58,225.48,226.4,78379012,-0.1800000000000068,-0.0008,-0.07944213964162783,143959907.0041142,91731943,,,-0.21051553954266436,,406201.18296917883,,,1005.1500621559226,,,,,,0.0,0.0,,227.21251111111113,224.42164444444447,,0.7088678148563924,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.31685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,,225.83,0.0,1.0,,,,,,,,,,,,,,,,,,,-0.07944213964162783,-0.07947371163146144,0.5150062155922619
2017-01-06,226.53,227.75,225.9,227.21,71559922,0.8100000000000023,0.0036,0.3577738515901041,173744306.97168225,163291865,,,2.0552705465497834,,193756.72497150584,,,1008.7462262475582,,,,,,0.0,0.0,,227.61021666666667,224.59206666666668,,0.867396694443064,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,225.48,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.3577738515901041,0.35713536338839447,0.8746226247558164
2017-01-09,226.91,227.0701,226.4163,226.46,46939676,-0.75,-0.0033,-0.33009110514502504,133079528.00808509,116352189,,,-0.11393525596555022,,101078.99387438461,,,1005.4164446812289,,,,,,0.0,0.0,,227.54869333333335,224.87265333333335,,0.593170007423903,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,225.48,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.33009110514502504,-0.33063710770182553,0.5416444681228816
2017-01-10,226.48,227.45,226.01,226.46,63771939,0.0,0.0,0.0,109165050.88308665,180124128,,,-0.029806213043039292,,-154943.6952598917,,,1005.4164446812289,,,,,,0.0,0.0,,227.63724444444446,224.92721111111112,,0.5655977991250597,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,225.5254,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5416444681228816
2017-01-11,226.36,227.1,225.59,227.1,74650016,0.6399999999999864,0.0028,0.2826106155612518,183815066.88308665,254774144,,,-0.7787674151335515,,210968.86973416488,,,1005.4164446812289,,,,,,0.0,0.0,,227.70430476190475,224.9499904761905,,0.7805970200862365,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,225.56989199999998,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.2826106155612518,0.2822120225618896,0.8257858284496544
2017-01-12,226.5,226.75,224.955,226.53,72113181,-0.5699999999999932,-0.0025,-0.2509907529722577,238251479.2814153,182660963,,,-1.2259027929997717,,29971.453750019078,,,1002.8929423762165,,,,,,0.0,0.0,,227.72543333333334,224.86665833333333,,0.5818372088277891,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,,227.75,0.0,1.0,,,,,,,,,,,,,,,,,,,-0.2509907529722577,-0.25130626280684965,0.5727224294086231
2017-01-13,226.73,227.4,226.69,227.05,62717865,0.5200000000000102,0.0023,0.2295501699554281,239134829.4926846,245378828,,,1.3499742059140665,,-37028.450284235674,,,1005.1950848299122,,,,,,0.0,0.0,,227.7289037037037,225.0299925925926,,0.7484527367690144,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,225.81685,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,,227.6941,0.0,0.0,,,,,,,,,,,,,,,,,,,0.2295501699554281,0.22928710605158997,0.8035872846741343
2017-01-17,226.31,226.78,225.8,226.25,61240814,-0.8000000000000114,-0.0035,-0.35234529839243134,234135579.3702348,184138014,,,-1.2081811975915078,,-71810.16312634264,,,1001.6533272088421,,,,,,0.0,0.0,226.36917000000003,227.68168,225.05666000000002,1.1596190417626118,0.45460225064951426,0.0,0.0,,,,,,1.4414999999999991,,,,,,,,,,,,,,,,,,226.35250000000002,,,225.81685,,0.0,0.0,0.0,,310.43352579011355,304.2263343129473,,,,,227.639318,0.0,0.0,,,,,,,,,,,,,,,,,,226.25,-0.35234529839243134,-0.3529674963924201,0.44841058426565716
